record_id,company,job_title,location,salary_usd,years_experience,date_posted,skills
1,Cobalt Intelligence,Product Analyst,Remote,108390-128395,10,2026-04-14,Tableau AWS Airflow
4,Cobalt Intelligence,Product Analyst,"Chicago, Il",96084-125317,0,2026-03-23,"Airflow, AWS, dbt"
5,Pioneer Data Systems,Analytics Engineer,"San Francisco, Ca",151606-168650,8,2026-03-16,Pandas SQL dbt
6,Bluepeak Software,Bi Developer,"Boston, Ma",109351-124920,6,2026-04-21,"Power BI, Airflow, SQL"
7,Vertex Insight,Business Analyst,"Boston, Ma",103166-125171,0,2026-03-16,"AWS, Spark, Python"
9,Pioneer Data Systems,Machine Learning Engineer,"Seattle, Wa",152130-169189,5,2026-04-08,"Spark, dbt, Power BI"
10,Acme Analytics,Analytics Engineer,"San Francisco, Ca",157414-186704,6,2026-03-08,"Python, TensorFlow, AWS"
11,Aurora Metrics,Machine Learning Engineer,"Seattle, Wa",147862-158814,1,2026-04-15,"Airflow, SQL, Pandas"
12,Pioneer Data Systems,Product Analyst,"Seattle, Wa",123631-149654,8,2026-03-12,"Python, Power BI, AWS"
13,Pioneer Data Systems,Product Analyst,Remote,102234-116378,3,2026-04-02,"Power BI, Pandas, Python"
15,Nimbus Labs,Analytics Engineer,"Seattle, Wa",134243-151249,9,2026-03-21,"Power BI, dbt, SQL"
16,Acme Analytics,Business Analyst,Remote,89735-106360,3,2026-03-22,"Power BI, Pandas, SQL"
17,Cobalt Intelligence,Research Scientist,"San Francisco, Ca",147290-173851,2,2026-03-22,"dbt, Python, Pandas"
18,Pioneer Data Systems,Analytics Engineer,"Boston, Ma",146900-164287,10,2026-03-01,"Spark, TensorFlow, dbt"
19,Bluepeak Software,Analytics Engineer,"San Francisco, Ca",113558-130345,3,2026-04-06,"SQL, Power BI, Tableau"
20,Acme Analytics,Research Scientist,"San Francisco, Ca",143881-157149,5,2026-03-04,"Power BI, Tableau, SQL"
21,Cobalt Intelligence,Machine Learning Engineer,"Seattle, Wa",144195-178857,9,2026-03-10,"TensorFlow, Power BI, Pandas"
2552,Cobalt Intelligence,Data Analyst,"Seattle, Wa",104227-114503,6,2026-03-31,"Tableau, dbt, Spark"
23,Nimbus Labs,Bi Developer,"Chicago, Il",91551-106485,1,2026-04-01,"Tableau, AWS, dbt"
25,Summit Ai Works,Data Analyst,"Seattle, Wa",93436-125693,1,2026-04-20,"Airflow, TensorFlow, Tableau"
26,Summit Ai Works,Research Scientist,"Seattle, Wa",115145-135903,0,2026-04-17,"AWS, TensorFlow, Python"
27,Nimbus Labs,Analytics Engineer,"Austin, Tx",114856-147383,4,2026-03-09,"Airflow, Tableau, AWS"
28,Summit Ai Works,Research Scientist,"Seattle, Wa",153710-179803,8,2026-04-27,"Pandas, TensorFlow, Power BI"
29,Cobalt Intelligence,Product Analyst,"Boston, Ma",105225-134965,3,2026-04-28,"AWS, Power BI, Spark"
30,Summit Ai Works,Product Analyst,"Seattle, Wa",123099-151019,10,2026-04-09,"Python, Pandas, Airflow"
34,Bluepeak Software,Business Analyst,"New York, Ny",146658-173472,10,2026-04-17,"Airflow, TensorFlow, Spark"
37,Acme Analytics,Research Scientist,"Austin, Tx",102694-112752,1,2026-03-18,"TensorFlow, Pandas, dbt"
40,Vertex Insight,Analytics Engineer,"Seattle, Wa",95212-113794,2,2026-04-06,"SQL, Pandas, Python"
41,Pioneer Data Systems,Machine Learning Engineer,"San Francisco, Ca",147327-179145,2,2026-04-09,"SQL, AWS, Power BI"
42,Cobalt Intelligence,Product Analyst,"Seattle, Wa",76262-108533,1,2026-03-31,"Python, SQL, Spark"
43,Cobalt Intelligence,Bi Developer,"Austin, Tx",114199-138873,9,2026-03-25,"Pandas, Power BI, AWS"
44,Bluepeak Software,Analytics Engineer,"Chicago, Il",125084-147899,8,2026-04-06,"Spark, SQL, Python"
45,Bluepeak Software,Business Analyst,"New York, Ny",78545-98583,0,2026-04-03,"Spark, dbt, SQL"
46,Aurora Metrics,Bi Developer,"Seattle, Wa",117776-138468,4,2026-04-06,"SQL, Python, AWS"
47,Nimbus Labs,Product Analyst,"Austin, Tx",114637-125218,8,2026-04-09,"Python, Tableau, AWS"
48,Acme Analytics,Machine Learning Engineer,"Chicago, Il",142037-174426,5,2026-03-11,"AWS, SQL, Tableau"
49,Summit Ai Works,Business Analyst,"Chicago, Il",78479-97771,3,2026-03-19,"SQL, Pandas, Power BI"
