record_id,company,job_title,location,salary_usd,years_experience,date_posted,skills
1,Cobalt Intelligence,Product Analyst,Remote,108390-128395,10,2026-04-14,Tableau AWS Airflow
2,BluePeak Software,Product Analyst,"Chicago, IL",NA,2,2026-04-02,"dbt, SQL, Spark"
3,Acme Analytics,Research Scientist,"Austin, TX",eighty-thousand,0,2026-03-08,"Spark, Pandas, SQL"
4,Cobalt Intelligence,Product Analyst,"Chicago, IL",96084-125317,0,2026-03-23,"Airflow, AWS, dbt"
5,Pioneer Data Systems,Analytics Engineer,"San Francisco, CA",151606-168650,8,2026-03-16,Pandas SQL dbt
6,BluePeak Software,BI Developer,"Boston, MA",109351-124920,6,2026-04-21,"Power BI, Airflow, SQL"
7,Vertex Insight,Business Analyst,"Boston, MA",103166-125171,0,2026-03-16,"AWS, Spark, Python"
8,BluePeak Software,Research Scientist,"San Francisco, CA",70000_to_90000,9,2026-04-28,"Airflow, Power BI, Tableau"
9,Pioneer Data Systems,Machine Learning Engineer,"Seattle, WA",152130-169189,5,2026-04-08,"Spark, dbt, Power BI"
10,Acme Analytics,Analytics Engineer,"San Francisco, CA",157414-186704,6,2026-03-08,"Python, TensorFlow, AWS"
11,Aurora Metrics,Machine Learning Engineer,"Seattle, WA",147862-158814,1,2026-04-15,"Airflow, SQL, Pandas"
12,Pioneer Data Systems,Product Analyst,"Seattle, WA",123631-149654,8,2026-03-12,"Python, Power BI, AWS"
13,Pioneer Data Systems,Product Analyst,Remote,102234-116378,3,2026-04-02,"Power BI, Pandas, Python"
14,Acme Analytics,Machine Learning Engineer,Remote,NA,0,2026-04-23,"Tableau, AWS, Pandas"
15,Nimbus Labs,Analytics Engineer,"Seattle, WA",134243-151249,9,2026-03-21,"Power BI, dbt, SQL"
16,Acme Analytics,Business Analyst,Remote,89735-106360,3,2026-03-22,"Power BI, Pandas, SQL"
17,Cobalt Intelligence,Research Scientist,"San Francisco, CA",147290-173851,2,2026-03-22,"dbt, Python, Pandas"
18,Pioneer Data Systems,Analytics Engineer,"Boston, MA",146900-164287,10,2026-03-01,"Spark, TensorFlow, dbt"
19,BluePeak Software,Analytics Engineer,"San Francisco, CA",113558-130345,3,2026-04-06,"SQL, Power BI, Tableau"
20,Acme Analytics,Research Scientist,"San Francisco, CA",143881-157149,5,2026-03-04,"Power BI, Tableau, SQL"
21,Cobalt Intelligence,Machine Learning Engineer,"Seattle, WA",144195-178857,9,2026-03-10,"TensorFlow, Power BI, Pandas"
2552,Cobalt Intelligence,Data Analyst,"Seattle, WA",104227-114503,6,2026-03-31,"Tableau, dbt, Spark"
23,  Nimbus Labs  , BI Developer    ,"Chicago, IL",91551-106485,1,2026-04-01,"Tableau, AWS, dbt"
24,Pioneer Data Systems,Data Engineer,"New York, NY",140014-154961,N/A,2026-04-02,"Spark, Tableau, SQL"
25,Summit AI Works,Data Analyst,"Seattle, WA",93436-125693,1,2026-04-20,"Airflow, TensorFlow, Tableau"
26,Summit AI Works,Research Scientist,"Seattle, WA",115145-135903,0,2026-04-17,"AWS, TensorFlow, Python"
27,Nimbus Labs,Analytics Engineer,"Austin, TX",114856-147383,4,2026-03-09,"Airflow, Tableau, AWS"
28,Summit AI Works,Research Scientist,"Seattle, WA",153710-179803,8,2026-04-27,"Pandas, TensorFlow, Power BI"
29,Cobalt Intelligence,Product Analyst,"Boston, MA",105225-134965,3,2026-04-28,"AWS, Power BI, Spark"
